id,name,url,kj,kcal,water,eiwit,koolhydraten,suikers,vet,verzadigd_vet,enkelvoudig_onverzadigd_vet,meervoudig_onverzadigd_vet,cholesterol,voedingsvezel,gevoel,gezondheid
1,"IJs, roomijs, gemiddeld",/voedingswaarde/voedingsmiddel/?id=548,1077,257,55,3.9,23.5,20,16.5,9.8,1077,1077,1077,1077,1077,1077
2,IJsbergsla,/voedingswaarde/voedingsmiddel/?id=549,48,11,95.7,1.2,0.9,0,0.1,0,48,48,48,48,48,48
3,"Inktvis, bereid",/voedingswaarde/voedingsmiddel/?id=178,618,147,68.5,24.5,1,0,5,1.5,618,618,618,618,618,618
4,Aal,/voedingswaarde/voedingsmiddel/?id=26,891,213,66.2,16,0,0,16.8,4,891,891,891,891,891,891
5,"Aardappel, zoet, bataat",/voedingswaarde/voedingsmiddel/?id=1071,402,96,74.1,1.3,21,3,0.1,0,402,402,402,402,402,402
6,"Aardappelen, gebakken",/voedingswaarde/voedingsmiddel/?id=606,529,126,73,2,16,1,5.5,2.5,529,529,529,529,529,529
7,"Aardappelen, rauw",/voedingswaarde/voedingsmiddel/?id=1153,357,85,76.7,2,17.6,0,0.1,0,357,357,357,357,357,357
8,"Aardappelpuree (instant, bereid)",/voedingswaarde/voedingsmiddel/?id=513,418,99,79.3,3.5,12,0,4.2,1.7,418,418,418,418,418,418
9,Aardappelzetmeel,/voedingswaarde/voedingsmiddel/?id=1001,1378,329,17.9,0.1,81,5,0,0,1378,1378,1378,1378,1378,1378
10,Aardpeer (topinamboer),/voedingswaarde/voedingsmiddel/?id=1000,343,81,78.9,2.5,17.5,0,0.1,0,343,343,343,343,343,343
11,Bacon,/voedingswaarde/voedingsmiddel/?id=75,1564,373,47,18,0,0,34,13.7,1564,1564,1564,1564,1564,1564
12,Bak- en braadlap,/voedingswaarde/voedingsmiddel/?id=107,461,110,74.3,22.6,0,0,2.1,0.8,461,461,461,461,461,461
13,"Baklava, Turks gebak",/voedingswaarde/voedingsmiddel/?id=1275,1946,464,13.4,4,55.6,28,25,9.5,1946,1946,1946,1946,1946,1946
14,Bamboescheuten,/voedingswaarde/voedingsmiddel/?id=622,119,28,91.6,2.5,3.5,0,0.2,0.1,119,119,119,119,119,119
15,"Bamibal, bereid",/voedingswaarde/voedingsmiddel/?id=1303,1263,301,43,7.5,32.5,1.5,16,8.5,1263,1263,1263,1263,1263,1263
16,"Basilicum, gedroogd",/voedingswaarde/voedingsmiddel/?id=624,1293,308,18.1,14.4,44.5,0,4,0,1293,1293,1293,1293,1293,1293
17,"Basmatirijst, rauw",/voedingswaarde/voedingsmiddel/?id=625,1486,354,11.6,7,78.5,0.2,0.6,0.1,1486,1486,1486,1486,1486,1486
18,"Beenham, gekookt",/voedingswaarde/voedingsmiddel/?id=135,679,162,70.3,17.7,1.4,1.3,9.6,3.7,679,679,679,679,679,679
19,Berliner,/voedingswaarde/voedingsmiddel/?id=149,1351,322,54.2,13.3,1.7,0,29.6,11.2,1351,1351,1351,1351,1351,1351
20,Beschuit,/voedingswaarde/voedingsmiddel/?id=210,1644,392,6.9,12.3,70.8,9.1,5.5,2.6,1644,1644,1644,1644,1644,1644
21,"Borrelnootjes, gem.",/voedingswaarde/voedingsmiddel/?id=943,2262,540,0.8,15,46,4.5,32,7,2262,2262,2262,2262,2262,2262
22,Bossche bol,/voedingswaarde/voedingsmiddel/?id=1086,1226,292,40.2,5.3,38.1,24,12.6,7.9,1226,1226,1226,1226,1226,1226
23,"Boter, halfvol",/voedingswaarde/voedingsmiddel/?id=643,1437,343,58,2.8,1.2,1.1,37,22.5,1437,1437,1437,1437,1437,1437
24,Boterhamworst,/voedingswaarde/voedingsmiddel/?id=137,1291,308,56,12.1,2.9,0.1,28,9.9,1291,1291,1291,1291,1291,1291
25,Botervis,/voedingswaarde/voedingsmiddel/?id=994,1202,287,56.5,18.5,0,0,24,1,1202,1202,1202,1202,1202,1202
26,"Bouillonpoeder / blokjes, onbereid, vlees",/voedingswaarde/voedingsmiddel/?id=945,996,237,54,16,16,0,12,6.5,996,996,996,996,996,996
27,"Boursin, kaas",/voedingswaarde/voedingsmiddel/?id=1118,1718,410,46.8,8.4,1.5,1,41.8,25.4,1718,1718,1718,1718,1718,1718
28,Bramen,/voedingswaarde/voedingsmiddel/?id=646,243,58,83.1,1.2,8.5,6.8,1,0.1,243,243,243,243,243,243
29,Brasem,/voedingswaarde/voedingsmiddel/?id=648,484,115,77,16.5,0,0,5.5,1.6,484,484,484,484,484,484
30,"Brinta, naturel (Brinta)",/voedingswaarde/voedingsmiddel/?id=545,1453,347,10.4,11,65,4,2.1,0.5,1453,1453,1453,1453,1453,1453
31,Nectarines,/voedingswaarde/voedingsmiddel/?id=560,154,36,89.2,1,7.5,7,0,0,154,154,154,154,154,154
32,"Nier, varken",/voedingswaarde/voedingsmiddel/?id=25,486,116,76.5,16.5,0.8,0,5.2,1.7,486,486,486,486,486,486
33,"Noedels, rijst",/voedingswaarde/voedingsmiddel/?id=1223,1513,361,9.9,5,82,0,0.6,0.1,1513,1513,1513,1513,1513,1513
34,Nootmuskaat,/voedingswaarde/voedingsmiddel/?id=561,2283,545,7,5.5,44,0,38,30.4,2283,2283,2283,2283,2283,2283
35,Baars,/voedingswaarde/voedingsmiddel/?id=620,344,82,79.7,18.5,0,0,0.8,0.1,344,344,344,344,344,344
36,Bagel,/voedingswaarde/voedingsmiddel/?id=1010,1313,313,26.4,10,55,6,5.1,0,1313,1313,1313,1313,1313,1313
37,Bakbanaan,/voedingswaarde/voedingsmiddel/?id=926,575,137,64.4,1,31.5,24,0.2,0,575,575,575,575,575,575
38,Balsamico-azijn,/voedingswaarde/voedingsmiddel/?id=621,326,77,79.8,0.2,19,19,0,0,326,326,326,326,326,326
39,Bami goreng,/voedingswaarde/voedingsmiddel/?id=1276,595,142,68.8,6.5,17.7,2.6,4.7,1,595,595,595,595,595,595
40,Banaan,/voedingswaarde/voedingsmiddel/?id=76,363,86,76.8,1.2,18.8,18.2,0.2,0,363,363,363,363,363,363
1094,Bruine suiker,,,,,,,,,,,,,,,
41,"Bessenjenever, 22 % v/v",/voedingswaarde/voedingsmiddel/?id=628,762,182,66.5,0,17.5,17.5,0,0,762,762,762,762,762,762
42,Biefstuk,/voedingswaarde/voedingsmiddel/?id=108,534,127,71.7,23.8,0,0,3.5,0.7,534,534,534,534,534,534
43,"Bier, alcoholvrij",/voedingswaarde/voedingsmiddel/?id=992,64,15,95.2,0.3,3.5,0.1,0,0,64,64,64,64,64,64
44,"Bier, wit 5 % v/v",/voedingswaarde/voedingsmiddel/?id=1224,189,45,89.7,0.5,3.8,3.8,0,0,189,189,189,189,189,189
45,"Bieslook, vers",/voedingswaarde/voedingsmiddel/?id=631,246,58,84.4,3.6,8.5,0,0.7,0,246,246,246,246,246,246
46,"Bietensap, rood",/voedingswaarde/voedingsmiddel/?id=633,158,38,88.7,1.1,8.2,8,0,0,158,158,158,158,158,158
47,"Bitterbal, bereid",/voedingswaarde/voedingsmiddel/?id=635,1306,311,44.5,10.5,25,2.5,19,10.5,1306,1306,1306,1306,1306,1306
48,"Bladerdeeg, algemeen",/voedingswaarde/voedingsmiddel/?id=439,1591,380,31.8,5.5,37.5,4.2,23,10.2,1591,1591,1591,1591,1591,1591
49,"Blauwe bes, bosbes",/voedingswaarde/voedingsmiddel/?id=642,316,75,77.1,0.6,14.5,14,0.2,0,316,316,316,316,316,316
50,Bloedworst,/voedingswaarde/voedingsmiddel/?id=136,1567,374,46.8,15.2,3,0,34,12.1,1567,1567,1567,1567,1567,1567
51,"Appelstroop, rinse",/voedingswaarde/voedingsmiddel/?id=614,1150,274,29.7,3.2,63,52,0,0,1150,1150,1150,1150,1150,1150
52,"Appelwijn, cider 5 % v/v",/voedingswaarde/voedingsmiddel/?id=615,42,10,96.5,0,2.5,2.5,0,0,42,42,42,42,42,42
53,Artisjok,/voedingswaarde/voedingsmiddel/?id=73,218,52,85.5,2.4,9.5,9.4,0.1,0,218,218,218,218,218,218
54,"Asperges, blik",/voedingswaarde/voedingsmiddel/?id=34,94,22,93.3,1.9,3.2,1.1,0.1,0,94,94,94,94,94,94
55,Aubergine,/voedingswaarde/voedingsmiddel/?id=71,107,25,91.6,1.2,3.5,1.5,0.2,0,107,107,107,107,107,107
56,Avocado,/voedingswaarde/voedingsmiddel/?id=1135,790,188,70.4,2.6,1.5,1.4,18.1,3.8,790,790,790,790,790,790
57,"Quiche, groentetaart",/voedingswaarde/voedingsmiddel/?id=991,1344,321,0,0,0,0,26,0,1344,1344,1344,1344,1344,1344
58,"Quinoa, rauw",/voedingswaarde/voedingsmiddel/?id=988,1556,372,11.4,15.2,60.6,1.5,6.5,1.2,1556,1556,1556,1556,1556,1556
59,"Quinoa, bereid",/voedingswaarde/voedingsmiddel/?id=1353,506,121,70.1,4.7,19.8,0,2.1,0.3,506,506,506,506,506,506
60,"Quorn, vleesvervanger",/voedingswaarde/voedingsmiddel/?id=979,594,141,64.2,14,12.7,1.8,2.6,0.6,594,594,594,594,594,594
61,Hollandaisesaus,/voedingswaarde/voedingsmiddel/?id=1196,411,98,84,1.8,5.4,0,7.8,4.6,411,411,411,411,411,411
62,Hoofdkaas,/voedingswaarde/voedingsmiddel/?id=1248,811,193,64.8,22.5,0.2,0,11.5,3.5,811,811,811,811,811,811
63,"Hummus, biologisch",/voedingswaarde/voedingsmiddel/?id=1222,1016,242,55.9,6.1,10.5,0,18,2.1,1016,1016,1016,1016,1016,1016
64,Huzarensalade,/voedingswaarde/voedingsmiddel/?id=1249,715,170,68.5,6,12.5,2.5,10.5,1.3,715,715,715,715,715,715
65,"Nasi goreng, gemiddeld",/voedingswaarde/voedingsmiddel/?id=559,672,160,63.7,4.5,26,0,4,1.5,672,672,672,672,672,672
66,"Nasivlees, varken",/voedingswaarde/voedingsmiddel/?id=100,543,129,72.7,21.5,0,0,4.8,1.8,543,543,543,543,543,543
67,"Nier, rund",/voedingswaarde/voedingsmiddel/?id=1258,363,86,80,17,0,0,2,0.6,363,363,363,363,363,363
68,"Noedels, Japanse, soba",/voedingswaarde/voedingsmiddel/?id=961,1541,368,9.5,14.5,74,0,1,0,1541,1541,1541,1541,1541,1541
69,"Noga, nougat",/voedingswaarde/voedingsmiddel/?id=960,1870,447,1.2,6.5,76.5,74.6,12.8,1.4,1870,1870,1870,1870,1870,1870
70,"Nasibal, bereid",/voedingswaarde/voedingsmiddel/?id=558,1329,317,41,6.5,32.5,0,18,6,1329,1329,1329,1329,1329,1329
71,"Aalbes, rode bes",/voedingswaarde/voedingsmiddel/?id=604,213,51,82.9,1.1,7.9,6,0.1,0,213,213,213,213,213,213
72,"Aardappel, zoet, bataat, gekookt",/voedingswaarde/voedingsmiddel/?id=1323,356,85,76,1.3,19.1,5.5,0.2,0.1,356,356,356,356,356,356
73,"Aardappelen, gekookt",/voedingswaarde/voedingsmiddel/?id=605,346,82,77.4,2,17,0,0.1,0,346,346,346,346,346,346
74,Aardappelkroketjes,/voedingswaarde/voedingsmiddel/?id=524,936,223,55.8,3.2,27,1,11,3,936,936,936,936,936,936
75,"Aardappelschijfjes, gemiddeld",/voedingswaarde/voedingsmiddel/?id=528,591,141,68.5,2,20.5,1,5,2.4,591,591,591,591,591,591
76,"Aardbei, vers",/voedingswaarde/voedingsmiddel/?id=27,154,36,89.3,0.8,6.5,5.4,0.4,0,154,154,154,154,154,154
77,"Abrikoos, blik",/voedingswaarde/voedingsmiddel/?id=42,310,74,80.3,0.5,17,16,0.1,0,310,310,310,310,310,310
78,"Abrikozen, gedroogd",/voedingswaarde/voedingsmiddel/?id=608,1151,274,26.9,5,58.5,55.8,0.1,0,1151,1151,1151,1151,1151,1151
79,"Achterham, gegrild",/voedingswaarde/voedingsmiddel/?id=134,488,116,75.1,19.2,0.6,0,4.1,1.6,488,488,488,488,488,488
80,"Advocaat, 14 % v/v",/voedingswaarde/voedingsmiddel/?id=609,1006,240,54.5,3.8,24.5,24.5,3.2,1.1,1006,1006,1006,1006,1006,1006
81,"Bloemkool, vers",/voedingswaarde/voedingsmiddel/?id=90,102,24,91.8,2,3,2.5,0,0,102,102,102,102,102,102
82,Boekweitmeel,/voedingswaarde/voedingsmiddel/?id=1,1516,362,10,10.8,69.9,2,2.7,0.5,1516,1516,1516,1516,1516,1516
83,"Boerenkool, bereid",/voedingswaarde/voedingsmiddel/?id=1307,159,38,88.3,2.9,4.8,0.6,0.8,0.1,159,159,159,159,159,159
84,"Boerenkoolstamppot, industrieel",/voedingswaarde/voedingsmiddel/?id=1210,649,155,72.3,5.3,11.6,0.8,9.8,3.4,649,649,649,649,649,649
85,"Bokking, gerookt",/voedingswaarde/voedingsmiddel/?id=640,1130,270,55.3,22.5,0,0,20.2,5.5,1130,1130,1130,1130,1130,1130
86,"Bonbon, gemiddeld",/voedingswaarde/voedingsmiddel/?id=641,1931,461,5.5,3.5,70,68,18,12,1931,1931,1931,1931,1931,1931
87,"Borstplaat, room",/voedingswaarde/voedingsmiddel/?id=1330,1460,349,15.3,0.7,80,78.5,2.9,1.5,1460,1460,1460,1460,1460,1460
88,"Bot, bereid",/voedingswaarde/voedingsmiddel/?id=1066,431,102,76,21,0,0,2,0.6,431,431,431,431,431,431
89,"Boter, ongezouten",/voedingswaarde/voedingsmiddel/?id=644,3076,735,14.1,0.7,0.7,0.7,82.5,54,3076,3076,3076,3076,3076,3076
90,"Boterkoek, gemiddeld",/voedingswaarde/voedingsmiddel/?id=645,2162,516,8,4.5,55,32,31,10,2162,2162,2162,2162,2162,2162
121,"Jägermeister, 34 % v/v",/voedingswaarde/voedingsmiddel/?id=552,1250,299,50,0,15,15,0,0,1250,1250,1250,1250,1250,1250
122,"Jam, halva",/voedingswaarde/voedingsmiddel/?id=554,569,135,65,0,33,32,0,0,569,569,569,569,569,569
123,"Jenever, citroen 30 % v/v",/voedingswaarde/voedingsmiddel/?id=1162,668,160,74,0,3,3,0,0,668,668,668,668,668,668
124,"Jenever, oud, 28 % v/v",/voedingswaarde/voedingsmiddel/?id=556,837,200,71,0,1,1,0,0,837,837,837,837,837,837
125,Lamsbout,/voedingswaarde/voedingsmiddel/?id=127,726,173,69,19.2,0,0,10.8,4.4,726,726,726,726,726,726
126,"Lamsvlees, mager",/voedingswaarde/voedingsmiddel/?id=20,797,190,66.2,20.8,0,0,12,5.9,797,797,797,797,797,797
127,Lamszadel,/voedingswaarde/voedingsmiddel/?id=131,1063,253,60.2,18.6,0,0,20.2,9.7,1063,1063,1063,1063,1063,1063
128,"Lasagne, gemiddeld",/voedingswaarde/voedingsmiddel/?id=1041,614,146,70.2,6.8,13.6,5,6.9,3.2,614,614,614,614,614,614
129,"Lekkerbekje, gebakken",/voedingswaarde/voedingsmiddel/?id=957,988,235,58.5,23.5,2,0.2,15,4,988,988,988,988,988,988
