id,name,createdAt,updatedAt
1,Doordeweeks,2022-11-12 18:02:35.774,2022-11-12 18:02:35.774
2,Comfort food,2022-11-12 18:02:35.774,2022-11-12 18:02:35.774
3,Vlees,2022-11-12 18:02:35.774,2022-11-12 18:02:35.774
4,Vegetarisch,2022-11-12 18:02:35.774,2022-11-12 18:02:35.774
5,Vis,2022-11-12 18:02:35.774,2022-11-12 18:02:35.774
7,Pasta,2022-11-20 15:44:25.924,2022-11-20 15:44:25.924
8,Croque,2022-11-20 15:44:35.709,2022-11-20 15:44:35.709
9,Italiaans,2022-11-20 15:44:51.208,2022-11-20 15:44:51.208
10,Snel,2022-11-20 16:49:19.607,2022-11-20 16:49:19.607
11,BBQ,2022-12-13 10:43:23.258,2022-12-13 10:43:23.258
12,Zomer,2022-12-13 10:43:32.578,2022-12-13 10:43:32.578
