id,name,description,imageKey,createdByUserId,createdAt,updatedAt
6,Wrap met fishticks en yoghurtdressing,"1
Verwarm de oven op 200 graden.

2
Leg de fishsticks op een bakpapier en leg 10 min in de oven tot ze goudbruin zijn. Draai ze halverwege eens om. Veel gezonder dan klaarmaken in de frietketel!

3
Meng de mayonaise bij de yoghurt. Pers de look er bij uit.

4
Snijd de bieslook fijn en snijd ook de ui in fijne blokjes. Als die laatste te straf smaakt/ruikt (als je te veel tranen in de ogen krijgt), laat ze dan even weken in een scheutje water met een lepeltje natuurazijn en suiker.

5
Snijd de komkommer in langwerpige stukken en snijd de sla en de ui in sliertjes.

6
Dresseer de wrap met een lepel saus, de groenten en daarop de fishticks. Vouw dicht en smullen maar!

Bron: https://themessychef.be/wrap-met-fishticks-en-yoghurtdressing/",,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,2022-11-20 15:04:24.019,2022-11-20 16:51:46.927
9,Hete Bliksem,"1
Verwarm de oven voor op 200 graden.

2
Smelt een klontje boter in een steelpan. Schil de appelen en snijd ze in stukken. Bak de appel aan en doe er een scheut water bij. Laat op een zacht vuur sudderen en voeg op het einde de suiker toe. Indien je voor gemaakte appelmoes koopt, kan je deze stap overslaan.

3
Kook de aardappelen en giet ze af.

4
Kruid de aardappelen met peper, zout en een snuifje nootmuskaat. Voeg stapsgewijs een beetje melk toe en stamp de aardappelen tot een smeuïge puree.

5
Kruid het kippengehakt met kippenkruiden en doe er wat verse tijm bij (rozemarijn is ook lekker)

6
Bak het gehakt krokant en doe alles in een ovenschaal.

7
Leg eerst het gehakt, daarna de appelmoes en daarna de puree. Zet gedurende 10 tot 15 minuten in de oven. Maak je deze ovenschotel van een dag tevoren dan zal het zeker 30 minuten nodig hebben.

8
haal uit de oven en werk af met de krokante frietjes

Bron: https://themessychef.be/hete-bliksem/",,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,2022-11-20 15:18:39.609,2022-11-20 16:53:14.757
4,Kaas croque met balsamico uien,"1
Snijd de uien in fijne ringen en bak ze aan in boter op een laag vuurtje. Kruid met een snufje zout en laat 5 minuten bakken. Voeg de balsamico azijn en de suiker toe. Laat op een zacht vuurtje pruttelen en voeg dan het water toe. Laat het vocht uitkoken zodat de uien karameliseren.

2
Beleg de toast met een sneetje kaas, de uien en nog een sneetje kaas. Smeer de buitenkanten van het brood in met een beetje boter en bak de croques krokant in de pan of in de oven. Als beide kanten krokant zijn, leg dan op het bovenste sneetje brood nog een schelletje kaas. Draai de croque om in de pan en bak een halve minuut aan die kant tot de kaas krokant is. Leg de croques op mekaar en serveer.

Bron: https://themessychef.be/kaas-croque-met-balsamico-uien/",,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,2022-11-16 18:13:47.354,2022-11-27 18:14:31.708
8,"Croque met kalkoen, spinazie, avocado en cheddar","1
Smeer een beetje boter aan de buitenkant van de sneetjes brood

2
Snijd de avocado doormidden, haal de pit er uit en haal het vruchtvlees er uit met een lepel. Snijd een helft in blokjes.

3
beleg de sneetjes brood met een plakje kalkoenfilet, de spinazie, avocado en een plakje cheddar kaas. Kruid met peper.

4
zet een pan op het vuur en bak de tosti krokant voor ongeveer een half minuutje aan elke kant tot de kaas gesmolten is.

5
serveer met een beetje Heinz Tomato Ketchup 50% minder suikers & zout*

Bron: https://themessychef.be/croque-met-kalkoen/",production/2b879acc-7e65-4bf9-881a-03dacd4f1a44,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,2022-11-20 15:13:44.42,2024-01-13 13:43:02.578
11,"Spaghetti met tomatensaus, worst, olijf, zongedroogde tomaten en peterselie","1
Bak de worsten in de pan. Als ze mooi bruin gebakken zijn, haal ze dan uit de pan. Ze hoeven nog niet volledig gaar te zijn.

2
Snijd de ui in fijne blokjes en stoof ze aan in dezelfde pan. Voeg de knoflook toe.

3
Blus met de wijn en laat een minuutje inkoken.

4
Doe de tomaten erbij en laat een halfuurtje inkoken op een zacht vuurtje.

5
Snijd de helft van het doosje zongedroogde tomaten ( de tomaten hé, niet het plastieken doosje:p ) in stukken en doe ze bij de saus.

6
Mix de saus.

7
Doe de worsten terug in de saus.

8
Snijd de rest van de zongedroogde tomaten in stukjes en de olijven in ringen.

9
Snijd een volledige bos peterselie fijn.

10
Kook de spaghetti beetgaar zoals vermeld op het pakje. Voeg een pollepel van het kookwater toe aan de saus. Giet ook de olie uit het pakje zongedroogde tomaten erbij.

11
Snijd de worst in kleinere stukken. Roer de pasta door de saus en werk af met de olijven, zongedroogde tomaten en de verse peterselie

Bron: https://themessychef.be/spaghetti-met-tomatensaus-worst-olijf-zongedroogde-tomaten-en-peterselie/",,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,2022-11-20 15:31:55.715,2022-11-20 16:54:32.439
12,Pappardelle met Parmezaanse gehaktballen en krokante chorizo,"1. Kruid het gehakt met peper en meng er wat gedroogde oregano onder. Voeg geen zout toe maar rasp er flink wat Parmezaanse kaas doorheen (een volledig zakje of een geraspte blok van ongeveer 4 cm)
2. Rol er ballen van en zet opzij in de koelkast
3. Snijd terwijl de groenten fijn.
4. Zet een kookpot op het vuur en doe er de chorizo bij. Je hoeft geen olijfolie te gebruiken. Als de worst krokant gebakken is, haal ze dan uit de pot en houd ze opzij. Giet het vet in de pan niet weg.
5. Bak de gehaktballen aan in dezelfde pan tot ze een bruin korstje hebben en haal ze vervolgens terug uit de pan.
6. Fruit de groenten aan en voeg de tomatenpuree toe. Laat even meebakken zodat de wrange smaak van de puree verdwijnt. Doe de tomatenblokjes er bij en blus met 300 ml runderbouillon. Laat een uurtje sudderen op een zacht vuur. Voeg ook de tijm en laurier toe.
7. Mix tot je een mooi, rode tomatensaus bekomt. Doe de gehaktballen er terug in en laat nog een halfuurtje mee sudderen totdat ze gaar zijn.
8. Kook de pasta zoals vermeld op het pakje. Giet ze af en hou nog een klein beetje van het kookwater over. Giet er de saus bij.
9. Serveer in een diep bord en werk af met de krokante chorizo, geraspte Parmezaanse kaas en verse basilicum. Smakelijk!",,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,2022-11-20 15:39:52.519,2022-11-20 16:54:59.402
22,Spaghetti Bolognaise ,"Bereiden:
Stoof de fijngesneden uien, selder en look in wat olijfolie. Voeg het gehakt toe en prak het met een vork fijn.

Voeg de bouillon, tomatenpuree en passata toe. Laat 2 uur zachtjes pruttelen onder een deksel.

Roer regelmatig in de saus en schep het overtollige vet af. Snipper de basilicumblaadjes fijn laat ze de laatste 5 minuten even meekoken.

Kook de spaghetti ondertussen in een grote hoeveelheid gezouten water al dente en giet af. Sprenkel er wat olijfolie over en kruid met peper van de molen. Meng met de warme saus.

Serveren:
Schep de spaghetti op de warme pastaborden. Serveer met de Parmezaanse kaas en enkele basilicumblaadjes.

Bron: https://njam.tv/recepten/spaghetti-bolognaise",,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,2022-12-13 10:26:09.572,2022-12-13 10:26:09.572
5,Pita met kip en looksaus,"1
Verwijder het overtollige vet van de kip en snijd in blokjes. Meng de kruiden er onder en masseer de kip.

2
Giet er een eetlepel olijfolie bij en een knijp van een halve citroen. Pers een teen look bij de kip. Zet opzij in de koelkast.

3
Meng de mayonaise met de yoghurt. Snijd een paar blaadjes peterselie fijn. Kruid met peper en zout en pers er de look in uit. Heb je het graag wat straffer, doe er dan nog een teentje look bij.

4
Snijd een stuk van de komkommer. Snijd in reepjes en daarna in blokjes.

5
Snijd de granaatappel in twee. Neem een helft en leg die op je vlakke hand. Open je vingers een beetje en sla met een houten lepel alle pitjes er uit en vang die op in een kom.

6
Snijd de ijsberg sla en de ui in reepjes. Is de ui te pikant van smaak, laat hem dan even weken in water met een theelepel azijn en een theelepel suiker.

7
Zet een pan op het vuur en laat die heel heet worden. Bak de kip krokant en kort aan in de pan.

8
Stop de pitabroodjes in een broodrooster.

9
Beleg de broodjes met de kip, groenten, granaatappel pitjes en looksaus. Werk af met verse peterselie.

Bron: https://themessychef.be/pita-met-kip-en-looksaus/",,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,2022-11-20 14:53:40.008,2022-11-20 16:51:24.46
7,"Penne met saus van kerstomaatjes, basilicum en krokante Gandaham","1
Zet een pot met water op het vuur. Kruid het water altijd met zout als je pasta klaarmaakt. Kook de pasta al dente zoals beschreven op het pakje.

2
Doe een scheutje olijfolie in de pan. Snijd de ui fijn en doe samen met 2 geperste tenen knoflook in de pan. Zet op een zacht vuurtje.

3
Blus met witte wijn en laat voor de helft inkoken. Blus daarna met de room en laat zacht sudderen.

4
Snijd de kerstomaten doormidden en doe ze in de saus net voor serveren.

5
Kruid met peper en zout.

6
Leg de Gandaham op een vel keukenrol en op een bord. Zet 2.5 minuten in de microgolfoven (850 watt). Maak je geen zorgen de ham zal een beetje knetteren maar niets aan de hand! Haal uit de microgolfoven en laat afkoelen.

7
Roer de saus door de pasta, werk af met blaadjes basilicum en de krokante ham.

Bron: https://themessychef.be/penne-met-kerstomaatjes-basilicum-en-ham/",,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,2022-11-20 15:10:09.126,2022-11-20 16:52:08.862
19,Gehakt parmentier,"Verwarm de oven voor op stand 6 - 180°C. Schil de aardappelen, snij ze in stukjes en kook ze in gezouten water.
Snij de uien en de look in kleine stukjes, en stoof ze met de olijfolie in een pan. Voeg het gehakt toe en laat bakken. Maak wat blaadjes tijm los en voeg deze samen met de tomatenblokjes uit blik bij het gehakt.
Giet de aardappelen af en pureer ze. Voeg de melk en de boter toe. Meng en breng op smaak met peper, zout en nootmuskaat.
Vul een ovenschotel met het gehakt en doe er de puree en ten slotte de geraspte kaas over. Bak 30 minuten in de oven

Bron: https://www.delhaize.be/nl-be/recepten/receptDetails/Gehakt-parmentier/r/3551676496064d7ea4b63c000ebcf808",,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,2022-11-27 18:08:59.047,2022-11-27 18:08:59.047
