recipeId,ingredientId,amount,unitAbbr
13,781,1,st
13,1118,5,el
13,556,600,ml
13,34,1,tl
13,408,150,g
13,89,2,el
13,180,50,ml
13,267,12,st
13,619,1,tl
14,142,300,g
14,1119,2,st
14,623,2,el
14,1097,2,st
14,1041,200,g
14,1112,250,g
14,362,1,el
15,685,1,st
15,936,2,st
15,142,300,g
15,1120,2,st
15,412,1,st
15,444,2,st
15,1121,150,g
15,909,50,g
15,932,1,el
15,407,1,el
15,89,1,el
16,1122,4,st
16,556,500,ml
16,1123,100,g
16,18,200,g
16,7,500,g
16,34,1,el
16,89,1.5,el
16,1118,1.5,el
17,1124,200,g
17,929,200,g
5,1046,300,g
5,131,1,st
5,444,1,st
5,1097,2,st
5,1098,1,tl
5,407,1,tl
5,659,1,tl
5,555,4,el
5,413,4,st
5,964,1,st
5,2,1,st
5,1094,1,tl
5,963,1,tl
5,1039,0.5,tl
5,767,0.5,st
5,362,1,st
5,336,2,el
5,1099,1,tl
6,1101,8,st
6,338,100,ml
6,1097,1,st
6,45,1,el
6,964,1,st
6,1100,4,st
6,555,1,tl
6,444,1,st
17,48,1,st
17,228,3,st
17,1104,250,ml
17,454,1,st
18,1102,0.5,st
18,1125,300,g
18,1126,2,st
18,1127,1,st
18,623,0.5,el
18,6,300,g
6,2,1,st
6,1102,1,st
7,1103,15,st
7,1104,200,ml
7,1097,2,st
7,601,1,st
7,1105,150,g
7,180,100,ml
7,444,1,st
7,267,4,st
19,7,400,g
19,556,100,ml
19,89,15,g
19,142,300,g
19,1111,200,g
19,683,0.5,st
19,1123,75,g
19,444,1,st
19,1097,1,st
20,444,0.5,st
20,1126,1,st
9,7,2,st
9,932,1,el
9,430,1,st
9,556,20,ml
9,34,1,st
9,619,1,el
9,429,3,st
9,1107,20,ml
9,165,300,g
9,1098,1,tl
9,1108,1,st
10,1105,250,g
10,1097,3,st
10,1001,300,g
10,500,50,ml
10,1107,100,ml
10,364,30,g
10,408,1,st
10,469,1,st
10,851,2,st
10,1104,250,ml
10,1109,1,st
10,89,2,el
10,1110,1,el
11,1111,400,g
11,657,50,g
11,362,1,st
11,1097,2,st
11,1112,250,g
11,1114,2,st
11,1113,200,g
11,444,1,st
11,180,100,ml
12,1117,250,g
12,408,1,st
12,659,1,el
12,1111,400,g
12,528,1,st
12,1097,2,st
12,815,50,g
12,142,400,g
12,601,1,st
12,686,70,g
12,1115,300,ml
12,444,1,st
12,806,0.5,st
12,683,1,st
12,1116,1,st
20,806,1,st
20,165,500,g
20,227,1,st
20,405,100,g
20,1128,75,g
20,1104,100,ml
20,707,1,tl
20,362,1,el
20,601,1,el
4,444,3,st
4,1094,2,tl
4,98,6,st
4,1095,250,g
4,1096,2,el
21,1045,2,st
21,430,1,st
21,1129,300,g
22,444,1,st
22,806,0.5,st
22,1097,1,st
22,166,250,g
22,1109,100,ml
22,686,1,el
22,1130,250,ml
22,601,1,st
22,1112,300,g
23,1131,300,g
23,585,250,g
23,667,200,g
23,1132,1,st
24,1133,125,g
24,1057,300,g
24,1131,250,g
24,1128,75,g
24,667,200,g
25,1134,200,g
25,1135,75,g
25,781,1,st
25,1126,2,st
25,1136,4,el
25,601,1,st
26,1045,300,g
26,1138,1,st
26,1137,1,el
26,1133,400,g
26,659,2,tl
26,601,1,st
26,400,2,tl
27,228,2,st
27,343,200,g
27,408,50,g
27,601,1,st
27,781,1,st
27,1097,2,st
27,1104,100,ml
27,1139,100,g
28,685,2,st
28,1138,200,g
28,256,8,st
28,1137,4,el
29,257,8,st
29,89,30,g
29,1138,125,g
29,1113,4,st
29,267,100,g
29,285,75,g
29,38,4,el
30,667,210,g
30,56,2,st
30,767,0.5,st
30,1097,1,st
30,289,50,g
30,253,8,st
30,1140,40,g
30,601,1,st
31,1045,300,g
31,1142,12,st
31,1141,2,st
31,619,1,el
31,282,1,el
32,1046,2,st
32,537,5,el
32,7,600,g
32,556,400,ml
32,1118,30,g
32,89,30,g
32,489,150,g
32,909,1,st
8,98,12,st
8,710,6,st
8,1057,100,g
8,56,2,st
8,1106,6,st
